,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_centre_180,deployment_code,is_lon_center_180
,0.1,0.1,-3,32,4,40,30,200,200,,ct115,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct116,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct117,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct118,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct119,NaN
,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,,ct12,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct120,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct121,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct122,NaN
,0.1,0.2,-3,32,4,40,30,400,200,,ct123,0
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct125,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct126,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct127,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct128,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct128a,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct129,NaN
,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,,ct13,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct130,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct131,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct132,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct133,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct134,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct135,NaN
,0.1,0.2,-3,32,4,40,30,400,200,,ct136,0
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct137,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct138,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct139,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,ct14,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct140,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct141,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct142,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct143,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct144,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct145,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct146,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct147,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct148,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct149,NaN
,0.05,0.2,-2.5,20,25,40,30,NaN,NaN,,ct15,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct150,NaN
,0.1,0.2,-3,8,4,40,30,NaN,NaN,,ct16,NaN
,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,,ct17,NaN
,0.05,0.05,-3,32,4,40,30,1000,200,,ct18,0
,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,,ct19,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,ct2,NaN
,0.05,0.05,-3,32,4,40,30,200,200,,ct20,0
,0.05,0.05,-3,15,4,40,30,NaN,NaN,,ct21,NaN
,0.1,0.05,-3,32,4,40,30,NaN,NaN,,ct22,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct23,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct23x,NaN
,0.05,0.05,-3,15,4,40,30,NaN,NaN,,ct25,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct26,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct27,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct27x,NaN
,0.1,0.1,-2.5,20,25,40,30,NaN,NaN,,ct28,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct29,NaN
,0.2,0.2,-3,8,4,40,30,NaN,NaN,,ct3,NaN
,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,,ct30,NaN
,0.1,0.2,-3,32,4,40,30,400,200,,ct31,0
,0.05,0.05,-3,32,4,40,30,200,200,,ct32,0
,0.05,0.05,-3,32,4,40,30,200,200,,ct32x,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct33,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct34,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct35,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct35b,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct35x,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct36,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct37,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct38e,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct38w,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct39,NaN
,0.05,0.2,-3,32,4,40,30,NaN,NaN,,ct4,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct40,NaN
,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,,ct41,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct42,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct43,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct44,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct45,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct46,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct47,NaN
,0.05,0.05,-3,15,4,40,30,NaN,NaN,,ct48,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct49,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct50,NaN
,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,,ct51,NaN
,0.1,0.1,-3,32,4,40,30,200,200,,ct52,0
,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,,ct53,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct54,NaN
,0.05,0.05,-3,32,4,40,30,200,200,,ct55,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct56,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct57,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct58,NaN
,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,,ct59,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,ct6,NaN
,0.1,0.2,-3,32,4,40,30,400,200,,ct61,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct62,NaN
,0.05,0.05,-3,32,4,40,30,1000,200,,ct63,1
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct64,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct65,NaN
,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,,ct67,NaN
,0.05,0.05,-3,10,4,40,30,NaN,NaN,,ct68,NaN
,0.1,0.2,-3,32,4,40,30,500,200,,ct69,0
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,ct7,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct70,NaN
,0.1,0.2,-3,32,4,40,30,400,200,,ct71,1
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct73,NaN
,0.05,0.05,-3,32,4,40,30,1000,200,,ct74,1
,0.05,0.2,-3,32,4,40,30,NaN,NaN,,ct75,NaN
,0.1,0.2,-3,32,4,40,30,200,200,,ct76,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct77,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct78,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct78d,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct79,NaN
,0.2,0.2,-3,12,25,40,30,NaN,NaN,,ct8,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct80,NaN
,0.1,0.1,-3,32,4,40,30,300,200,,ct81,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct82,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct83,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct84,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct85,NaN
,0.1,0.1,-3,32,4,40,30,100,100,,ct86,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct87,NaN
,0.1,0.2,-3,32,4,40,30,1000,100,,ct88,1
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct89,NaN
,0.2,0.2,-3,32,25,40,30,NaN,NaN,,ct9,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct90,NaN
,0.1,0.2,-3,32,4,40,30,400,100,,ct91,0
,0.1,0.1,-3,32,4,40,30,400,100,,ct92,0
,0.1,0.1,-3,32,4,40,30,400,100,,ct93,0
,0.1,0.1,-3,32,4,40,30,400,100,,ct94,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct95,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct96,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct97,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct98,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct99,NaN
,0.1,0.2,-3,32,4,40,30,100,100,,eb03,0
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,eb04,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft01,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft02,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft03,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft04,NaN
,0.1,0.2,-3,32,4,40,30,500,100,,ft05,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft06,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft07,NaN
,0.1,0.2,-3,32,4,40,30,400,200,,ft08,0
,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,,ft09,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft10,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft11,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft12,NaN
,0.1,0.2,-3,32,4,40,30,300,200,,ft13,0
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ft14,NaN
,0.05,0.2,-3,32,4,40,30,200,100,,ft15,0
,0.05,0.2,10,40,0,40,30,200,100,,ft17,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft18,NaN
,0.1,0.1,-3,32,4,40,30,400,200,,ft19,0
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ft20,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ft21,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft22,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ft23,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ft24,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ft25,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ft26,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hd2bb,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hd2f,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hd2g,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hd3,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hd5bb,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hd6,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,hg19,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hg37,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hg37g,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hg4,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hg42,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hg47,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hg9,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,hp2,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,kp01,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs11,NaN
,0.1,0.2,-3,32,4,40,30,550,200,,rs14,1
,0.1,0.2,-3,32,4,40,30,550,200,,rs15,1
,0.1,0.2,-3,32,4,40,30,550,200,,rs17,1
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs18,NaN
,0.1,0.2,-3,32,4,40,30,550,200,,rs19,1
,0.1,0.2,-3,32,4,40,30,550,200,,rs22,1
,0.1,0.2,-3,32,4,40,30,550,200,,rs23,1
,0.1,0.2,-3,32,4,40,30,550,200,,rs27,1
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs28,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs29,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs31,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs32,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs34,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs6,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,rs9,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,wd04,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,wd06,NaN
,0.03,0.1,-3,32,4,40,30,NaN,NaN,,wd07,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,wd09,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,wd1,NaN
,0.1,0.2,-3,32,4,40,10,NaN,NaN,,wd10,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,wd11,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,wd3,NaN
,0.1,0.2,-3,32,4,40,30,1000,200,,vc04,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct124,0
,0.1,0.2,-3,32,4,40,30,1000,200,,vc03,0
,0.1,0.2,-3,32,4,40,30,1000,200,,pv52,0
,0.1,0.2,-3,32,4,40,30,1000,200,,DL01,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct151,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct152,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct153,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct154,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct156,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct157,0
,0.1,0.2,-3,32,4,40,30,1000,200,,hg63,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd12,0
,0.1,0.2,-3,32,4,40,5,1000,200,,wd13,0
,0.1,0.2,-3,32,4,40,30,1000,200,,hd09,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct159,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct155,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct160,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct165,0
,0.1,0.2,-3,32,4,40,5,1000,200,,wd2,0
,0.1,0.2,-3,32,4,40,5,1000,200,,wd19,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct158,0
,0.1,0.2,-3,32,4,40,5,1000,200,,wd15,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct168,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct161,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct164,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd14,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd21,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd25,0
,0.1,0.2,-3,32,4,40,30,1000,200,,hd08,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct171,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct166,0
,0.1,0.2,-3,32,4,40,30,1000,200,,sk3,0
,0.1,0.2,15,32,30.5,38,10,200,200,,tu117,0
,0.1,0.2,15,32,30.5,38,10,200,200,,tu120,0
,0.1,0.2,15,32,30.5,38,5,50,50,,tu116,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct162,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct163,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct175,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd22,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct170,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd27,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft34,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft33,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd20,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct180,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct176,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct177,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd30,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd31,0
,0.1,0.2,-3,32,4,40,30,1000,200,,tu115,0
,0.1,0.2,-3,32,4,40,30,1000,200,,tu114,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd16,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd17,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd18,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct167,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft29,0
,0.1,0.2,-3,32,4,40,30,1000,200,,rs37,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft28,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft27,0
,0.1,0.2,-3,32,4,40,30,1000,200,,rs36,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct169,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct174,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ct179,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft35,0
,0.1,0.2,-3,32,4,40,30,1000,200,,wd29,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft32,0
,0.1,0.2,-3,32,4,40,30,1000,200,,ft31,0
ct88,0.1,0.2,-3,32,4,40,30,1000,200,0,,
BM01,0.1,0.2,-3,32,4,40,30,1000,200,0,,
BM02,0.1,0.2,-3,32,4,40,30,1000,200,0,,
BM03,0.1,0.2,-3,32,4,40,30,1000,200,0,,
bs1,0.1,0.2,-3,32,4,40,30,1000,200,0,,
bs2,0.1,0.2,-3,32,4,40,30,1000,200,0,,
bv3,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct1,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct10,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct100,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct101,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct102,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct103,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct104,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct96,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft18,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct105,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct106,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct107,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct108,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct109,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct11,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct110,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct111,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct112,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct113,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct114,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct115,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct116,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct117,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct118,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct119,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct12,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct120,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct121,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct122,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct123,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct125,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct126,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct127,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct128,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct128a,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct129,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct13,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct130,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct131,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct132,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct133,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct134,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct135,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct136,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct137,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct138,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct139,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct14,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct140,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct141,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct142,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct143,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct144,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct145,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct146,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct147,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct148,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct149,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct15,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct150,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct151,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct152,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct153,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct154,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct155,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct156,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct158,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct157,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct159,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct16,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct160,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct161,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct162,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct163,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct164,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct165,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct166,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct167,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct168,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct169,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct17,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct170,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct171,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct174,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct175,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct176,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct177,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct179,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct18,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct180,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct181,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct19,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct2,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct20,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct21,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct22,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct23,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct23x,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct25,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct26,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct27,0.1,0.2,-3,32,4,40,30,1000,200,0,,
